ID,K1,K2,K3,K4,K5,Assigned_cluster,sample,condition,Taxa,ID.y,group,era,Q,origin,meta
S16410,0.82819,0.057887,0.055452,0.058461,0.00001,1,S16410_chilling,chilling,S16410,S16410,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16445_3,0.953027,0.02159,0.010323,0.015049,0.00001,1,S16445_3_chilling,chilling,S16445_3,S164453,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16448A,0.977164,0.022806,0.00001,0.00001,0.00001,1,S16448A_chilling,chilling,S16448A,S16448A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16567A,0.986396,0.00001,0.00001,0.013574,0.00001,1,S16567A_chilling,chilling,S16567A,S16567A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S16582A,0.818208,0.020122,0.082041,0.079618,0.00001,1,S16582A_chilling,chilling,S16582A,S16582A,Polskie,II,Iodent,Poland,Iodent_II_Poland
S17030,0.00001,0.00002,0.00001,0.99995,0.00001,4,S17030_chilling,chilling,S17030,S17030,Polskie,II,NSS,Poland,NSS_II_Poland
S17041,0.058599,0.00001,0.00001,0.941371,0.00001,4,S17041_chilling,chilling,S17041,S17041,Polskie,II,NSS,Poland,NSS_II_Poland
S17123_2,0.00001,0.00001,0.00001,0.99996,0.00001,4,S17123_2_chilling,chilling,S17123_2,S171232,Polskie,II,NSS,Poland,NSS_II_Poland
S17134,0.057112,0.00001,0.00001,0.942858,0.00001,4,S17134_chilling,chilling,S17134,S17134,Polskie,II,NSS,Poland,NSS_II_Poland
S17153_1,0.00001,0.00001,0.000011,0.999959,0.00001,4,S17153_1_chilling,chilling,S17153_1,S171531,Polskie,II,NSS,Poland,NSS_II_Poland
S245,0.494512,0.169178,0.308791,0.00001,0.027509,1,S245_chilling,chilling,S245,S245,Polskie,I,Iodent,Poland,Iodent_I_Poland
S299,0.577275,0.046601,0.259799,0.116315,0.00001,1,S299_chilling,chilling,S299,S299,Polskie,I,Mix,Poland,Mix_I_Poland
S336A,0.446572,0.028425,0.485588,0.019943,0.019473,3,S336A_chilling,chilling,S336A,S336A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S40620,0.692417,0.010384,0.153664,0.127578,0.015958,1,S40620_chilling,chilling,S40620,S40620,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41789,0.999959,0.000011,0.00001,0.00001,0.00001,1,S41789_cold,cold,S41789,S41789,Polskie,I,Iodent,Poland,Iodent_I_Poland
S41796,0.99996,0.00001,0.00001,0.00001,0.00001,1,S41796_chilling,chilling,S41796,S41796,Polskie,I,Iodent,Poland,Iodent_I_Poland
S50676,0.719797,0.000011,0.276253,0.00001,0.003929,1,S50676_chilling,chilling,S50676,S50676,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54555,0.925421,0.00001,0.058568,0.015991,0.00001,1,S54555_chilling,chilling,S54555,S54555,Polskie,I,Iodent,Poland,Iodent_I_Poland
S54793,0.999952,0.000018,0.00001,0.00001,0.00001,1,S54793_chilling,chilling,S54793,S54793,Polskie,I,Iodent,Poland,Iodent_I_Poland
S56125A,0.872497,0.017738,0.020685,0.089069,0.00001,1,S56125A_chilling,chilling,S56125A,S56125A,Polskie,I,Iodent,Poland,Iodent_I_Poland
S63648,0.99996,0.00001,0.00001,0.00001,0.00001,1,S63648_chilling,chilling,S63648,S63648,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64411,0.999959,0.000011,0.00001,0.00001,0.00001,1,S64411_chilling,chilling,S64411,S64411,Polskie,I,Iodent,Poland,Iodent_I_Poland
S64417,0.999954,0.000016,0.00001,0.00001,0.00001,1,S64417_chilling,chilling,S64417,S64417,Polskie,I,Iodent,Poland,Iodent_I_Poland
